333.850000 0.000000 437.250000
103.400000 317.350000 437.250000
-270.050000 196.350000 437.250000
-270.050000 -196.350000 437.250000
103.400000 -317.350000 437.250000
540.100000 0.000000 103.400000
167.200000 513.700000 103.400000
-437.250000 317.350000 103.400000
-437.250000 -317.350000 103.400000
167.200000 -513.700000 103.400000
437.250000 317.350000 -103.400000
-167.200000 513.700000 -103.400000
-540.100000 0.000000 -103.400000
-167.200000 -513.700000 -103.400000
437.250000 -317.350000 -103.400000
270.050000 196.350000 -437.250000
-103.400000 317.350000 -437.250000
-333.850000 0.000000 -437.250000
-103.400000 -317.350000 -437.250000
270.050000 -196.350000 -437.250000
