112.436000 271.424000 271.424000
112.436000 271.424000 -271.424000
112.436000 -271.424000 271.424000
112.436000 -271.424000 -271.424000
-112.436000 271.424000 271.424000
-112.436000 271.424000 -271.424000
-112.436000 -271.424000 271.424000
-112.436000 -271.424000 -271.424000
271.424000 112.436000 271.424000
271.424000 112.436000 -271.424000
271.424000 -112.436000 271.424000
271.424000 -112.436000 -271.424000
-271.424000 112.436000 271.424000
-271.424000 112.436000 -271.424000
-271.424000 -112.436000 271.424000
-271.424000 -112.436000 -271.424000
271.424000 271.424000 112.436000
271.424000 271.424000 -112.436000
271.424000 -271.424000 112.436000
271.424000 -271.424000 -112.436000
-271.424000 271.424000 112.436000
-271.424000 271.424000 -112.436000
-271.424000 -271.424000 112.436000
-271.424000 -271.424000 -112.436000
